college,State,region
Hair Design Institute at Fifth Avenue,NY,Region A
Bramson ORT College,NY,Region A
Circle in the Square Theatre School,NY,Region A
Yeshiva Shaar Hatorah,NY,Region A
Washington Saratoga Warren Hamilton Essex BOCES,NY,Region A
Geneva General Hospital,NY,Region A
New York Career Institute,NY,Region A
Davis College,NY,Region A
Swedish Institute,NY,Region C
Ailey School (The),NY,Region C
Torah Temimah Talmudical Seminary,NY,Region B
Hunter Business School,NY,Region A
Mildred Elley,NY,Region A
Yeshiva Derech Chaim,NY,Region A
Institute of Audio Research,NY,Region A
Yeshiva & Kollel Harbotzas Torah,NY,Region A
Yeshiva Karlin Stolin,NY,Region A
Shor Yoshuv Rabbinical College,NY,Region A
Associated Beth Rivkah Schools,NY,Region A
CUNY City University of New York - Central,NY,Region A
Yeshivat Mikdash Melech,NY,Region C
"Joffrey Ballet School, American Ballet Center",NY,Region C
Art Institute of New York City (The),NY,Region B
Globe Institute of Technology,NY,Region A
Yeshiva of the Telshe Alumni,NY,Region A
Talmudical Institute of Upstate New York,NY,Region A
Seminar L'Moros Bais Yaakov,NY,Region A
International Culinary Center,NY,Region A
New York College of Health Professions,NY,Region A
New York Academy of Art (The),NY,Region A
Sanford-Brown Institute,NY,Region A
Rabbinical College of Yeshiva and Kolel Bais Medrosh Elyon Association,NY,Region A
Yeshiva Gedolah Imrei Yosef D'Spinka,NY,Region C
ASA Institute of Business & Computer Technology,NY,Region C
Charles Stuart School,NY,Region B
New York Conservatory For Dramatic Arts (The),NY,Region A
Yeshivas Novominsk,NY,Region A
Rabbinical College of Ohr Shimon Yisroel,NY,Region A
Yeshiva D'Monsey,NY,Region A
Manhattan School of Computer Technology,NY,Region A
Franklin Career Institute,NY,Region A
Star Career Academy,NY,Region A
Yeshiva Shaarei Torah of Rockland,NY,Region A
New York Automotive & Diesel Institute,NY,Region A
Beis Medrash Heichal Dovid,NY,Region C
UTA Mesivta of Kiryas Joel,NY,Region C
Union Graduate College,NY,Region B
King's College (The),NY,Region A
Talmudical Seminary of Bobov,NY,Region A
EDP School of Computer Programming,NY,Region A
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,Region A
"John Paolo's Xtreme Beauty Institute, Goldwell Products Artistry",NY,Region A
Yeshiva of Machzikai Hadas,NY,Region A
Institute of Culinary Education,NY,Region A
Access Careers,NY,Region A
"John Paolo's Xtreme Beauty, Goldwell Products Artistry",NY,Region A
Manhattan Institute (The),NY,Region C
Be'er Yaakov Talmudic Seminary,NY,Region C
Digital Film Academy,NY,Region B
Yeshiva Gedola Ohr Yisrael,NY,Region A
Gloria Francis School of Make-up Artistry,NY,Region A
Beth Medrash Meor Yitzchok,NY,Region A
New York Institute of Beauty,NY,Region A
Access Careers,NY,Region A
Yeshiva Gedolah Kesser Torah,NY,Region A
Bet Medrash Gadol Ateret Torah,NY,Region A
Rabbinical College Ohr Yisroel,NY,Region A
Yeshiva Sholom Shachna,NY,Region A
Culinary Tech Center,NY,Region C
Antioch University,OH,"Boards 22, 74, and 87"
Art Academy of Cincinnati,OH,Boards 18 and 47
Ashland University,OH,Board 12
Baldwin Wallace University,OH,Boards 5 and 60
Bluffton University,OH,"Boards 3, 52, and 85"
Bowling Green State University,OH,Boards 50 and 76
Capital University,OH,Board 31 (Hamilton)
Case Western Reserve University,OH,Board 31 (Hamilton)
Cedarville University,OH,"Boards 21, 39, 51, 70, and 80"
Central State University,OH,"Boards 2, 46, 55, and 68"
Cincinnati Christian University,OH,"Boards 22, 74, and 87"
Ohio Christian University,OH,Boards 18 and 47
Cleveland Institute of Music (The),OH,Board 12
Cleveland State University,OH,Boards 5 and 60
Mount St. Joseph University,OH,"Boards 3, 52, and 85"
Ohio Dominican University,OH,Boards 50 and 76
Franciscan University of Steubenville,OH,Board 31 (Hamilton)
College of Wooster (The),OH,Board 31 (Hamilton)
Columbus College of Art & Design,OH,"Boards 21, 39, 51, 70, and 80"
Cuyahoga Community College,OH,"Boards 2, 46, 55, and 68"
Defiance College,OH,"Boards 22, 74, and 87"
Denison University,OH,Boards 18 and 47
Trinity Lutheran Seminary,OH,Board 12
University of Findlay (The),OH,Boards 5 and 60
Franklin University,OH,"Boards 3, 52, and 85"
Heidelberg University,OH,Boards 50 and 76
Hiram College,OH,Board 31 (Hamilton)
John Carroll University,OH,Board 31 (Hamilton)
Kent State University,OH,"Boards 21, 39, 51, 70, and 80"
Kenyon College,OH,"Boards 2, 46, 55, and 68"
Lake Erie College,OH,"Boards 3, 52, and 85"
Lorain County Community College,OH,Boards 50 and 76
Lourdes University,OH,Boards 18 and 47
Malone University,OH,"Boards 28, 43, and 67"
Marietta College,OH,Boards 4 and 78
Methodist Theological School in Ohio,OH,Board 31 (Hamilton)
Miami University,OH,Board 31 (Hamilton)
Wright State University,OH,"Boards 21, 39, 51, 70, and 80"
University of Mount Union,OH,"Boards 2, 46, 55, and 68"
Muskingum University,OH,"Boards 3, 52, and 85"
Notre Dame College of Ohio,OH,Boards 50 and 76
Oberlin College,OH,Boards 18 and 47
Ohio Northern University,OH,"Boards 28, 43, and 67"
Ohio State University (The),OH,Boards 4 and 78
Ohio University,OH,Board 31 (Hamilton)
Ohio Wesleyan University,OH,Board 31 (Hamilton)
Otterbein University,OH,"Boards 21, 39, 51, 70, and 80"
Pontifical College Josephinum,OH,"Boards 2, 46, 55, and 68"
Firelands Regional Medical Center,OH,"Boards 3, 52, and 85"
Rabbinical College of Telshe,OH,Boards 50 and 76
University of Rio Grande,OH,Boards 18 and 47
Sinclair Community College,OH,"Boards 28, 43, and 67"
Tiffin University,OH,Boards 4 and 78
United Theological Seminary,OH,Board 31 (Hamilton)
University of Akron (The),OH,Board 31 (Hamilton)
University of Cincinnati,OH,"Boards 21, 39, 51, 70, and 80"
University of Dayton,OH,"Boards 2, 46, 55, and 68"
University of Toledo,OH,"Boards 3, 52, and 85"
Urbana University,OH,Boards 50 and 76
Ursuline College,OH,Boards 18 and 47
Walsh University,OH,"Boards 28, 43, and 67"
Wilberforce University,OH,Boards 4 and 78
Wilmington College,OH,Boards 23 and 45
Wittenberg University,OH,Boards 23 and 45
Xavier University,OH,Boards 23 and 45
Youngstown State University,OH,"Boards 21, 39, 51, 70, and 80"
Cleveland Institute of Art (The),OH,"Boards 2, 46, 55, and 68"
Clark State Community College,OH,"Boards 3, 52, and 85"
Bradford School,OH,Boards 50 and 76
Davis College,OH,Boards 18 and 47
University of Northwestern Ohio,OH,"Boards 28, 43, and 67"
Stautzenberger College,OH,Boards 4 and 78
North Central State College,OH,Boards 23 and 45
Owens State Community College,OH,Boards 23 and 45
Aultman College of Nursing and Health Sciences,OH,Boards 23 and 45
Christ College of Nursing and Health Sciences,OH,"Boards 21, 39, 51, 70, and 80"
Good Samaritan College of Nursing and Health Science,OH,"Boards 2, 46, 55, and 68"
Lakeland Community College,OH,"Boards 3, 52, and 85"
Columbus State Community College,OH,Boards 50 and 76
Kettering College,OH,Boards 18 and 47
Mount Vernon Nazarene University,OH,"Boards 28, 43, and 67"
Eastern Gateway Community College,OH,Boards 4 and 78
Hocking Technical College,OH,Boards 23 and 45
Zane State College,OH,Boards 23 and 45
Terra State Community College,OH,Boards 23 and 45
Northwest State Community College,OH,Boards 23 and 45
Wayne County Schools Career Center,OH,"Boards 21, 39, 51, 70, and 80"
Fortis College,OH,"Boards 2, 46, 55, and 68"
Belmont College,OH,"Boards 3, 52, and 85"
Shawnee State University,OH,Boards 50 and 76
Payne Theological Seminary,OH,Boards 18 and 47
James A. Rhodes State College,OH,"Boards 28, 43, and 67"
Cincinnati State Technical & Community College,OH,Boards 4 and 78
Washington State Community College,OH,Boards 23 and 45
Northern Institute of Cosmetology,OH,Boards 23 and 45
Marion Technical College,OH,Boards 23 and 45
Chatfield College,OH,"Boards 21, 39, 51, 70, and 80"
Stark State College,OH,"Boards 2, 46, 55, and 68"
Cincinnati College of Mortuary Science,OH,"Boards 3, 52, and 85"
Union Institute & University,OH,Boards 50 and 76
Hobart Institute of Welding Technology,OH,Boards 18 and 47
Central Ohio Technical College,OH,"Boards 28, 43, and 67"
Ohio Technical College,OH,Boards 4 and 78
Edison State Community College,OH,Boards 23 and 45
Moler Hollywood Beauty Academy,OH,Boards 23 and 45
Southern State Community College,OH,"Boards 28, 43, and 67"
Antonelli College,OH,Boards 4 and 78
Virginia Marti College of Art and Design,OH,Boards 23 and 45
International College of Broadcasting,OH,Boards 23 and 45
Kaplan College,OH,Boards 23 and 45
Trumbull Business College,OH,"Boards 21, 39, 51, 70, and 80"
Daymar College,OH,"Boards 2, 46, 55, and 68"
Ohio State College of Barber Styling,OH,"Boards 3, 52, and 85"
Cleveland Institute of Dental - Medical Assistants,OH,Boards 50 and 76
Art Institute of Cincinnati (The),OH,"Boards 28, 43, and 67"
Ohio Business College,OH,Boards 4 and 78
Fortis College,OH,Boards 23 and 45
God's Bible School & College,OH,Boards 23 and 45
Raphael's School of Beauty Culture,OH,Boards 23 and 45
Ohio Valley College of Technology,OH,"Boards 21, 39, 51, 70, and 80"
Moler - Pickens Beauty College,OH,"Boards 2, 46, 55, and 68"
Professional Skills Institute,OH,"Boards 3, 52, and 85"
Northeast Ohio Medical University,OH,Boards 50 and 76
Raphael's School of Beauty Culture,OH,"Boards 28, 43, and 67"
Kaplan Career Institute,OH,Boards 4 and 78
Gallipolis Career College,OH,Boards 23 and 45
Raphael's School of Beauty Culture,OH,Boards 23 and 45
Ohio Media School,OH,Boards 23 and 45
Mount Carmel College of Nursing,OH,"Boards 21, 39, 51, 70, and 80"
Ohio Media School,OH,"Boards 2, 46, 55, and 68"
ETI Technical College of Niles,OH,"Boards 3, 52, and 85"
Ohio Technical Center at Vantage Career Center,OH,Boards 50 and 76
Mercy College of Ohio,OH,"Boards 28, 43, and 67"
Ohio College of Massotherapy,OH,Boards 4 and 78
Ashland County - West Holmes Career Center - Adult Education,OH,Boards 23 and 45
Rosedale Bible College,OH,Boards 23 and 45
Allegheny Wesleyan College,OH,Boards 23 and 45
ATS Institute of Technology,OH,"Boards 21, 39, 51, 70, and 80"
Tri-State Bible College,OH,"Boards 2, 46, 55, and 68"
American Institute of Alternative Medicine,OH,"Boards 3, 52, and 85"
Regency Beauty Institute - Cleveland,OH,Boards 50 and 76
Orion Institute,OH,"Boards 28, 43, and 67"
Hondros College,OH,Boards 4 and 78
Aveda Institute Columbus,OH,Boards 23 and 45
Institute of Therapeutic Massage,OH,Boards 23 and 45
Valor Christian College,OH,Boards 23 and 45
Antioch College,OH,"Boards 21, 39, 51, 70, and 80"
Western Oklahoma State College,OK,Oklahoma County
Bacone College,OK,Oklahoma County
Southern Nazarene University,OK,Northwest and Southwest
Cameron University,OK,Central
Oklahoma Wesleyan University,OK,Central
University of Central Oklahoma,OK,Central
Connors State College,OK,Northeast
East Central University,OK,Northeast
Eastern Oklahoma State College,OK,East Central
Redlands Community College,OK,East Central
Langston University,OK,Southeast
Murray State College,OK,Oklahoma County
Northeastern Oklahoma A & M College,OK,Oklahoma County
Northeastern State University,OK,Northwest and Southwest
Northern Oklahoma College,OK,Central
Northwestern Oklahoma State University,OK,Central
Oklahoma Baptist University,OK,Central
Oklahoma Christian University,OK,Northeast
Oklahoma City University,OK,Northeast
University of Science & Arts of Oklahoma,OK,East Central
Rogers State University,OK,East Central
Oklahoma State University,OK,Southeast
Oklahoma State University Institute of Technology - Okmulgee,OK,Oklahoma County
Oklahoma Panhandle State University,OK,Oklahoma County
Carl Albert State College,OK,Northwest and Southwest
Seminole State College,OK,Central
Southeastern Oklahoma State University,OK,Central
Southwestern Christian University,OK,Central
Southwestern Oklahoma State University,OK,Northeast
Saint Gregory's University,OK,Northeast
University of Oklahoma,OK,East Central
University of Tulsa (The),OK,East Central
Oral Roberts University,OK,Southeast
Tulsa Technology Center School District No. 18,OK,Oklahoma County
Mid-America Christian University,OK,Oklahoma County
Spartan College of Aeronautics and Technology,OK,Northwest and Southwest
Rose State College,OK,Central
Kiamichi Technology Center,OK,Central
Tulsa Welding School,OK,Central
Oklahoma State University - Oklahoma City,OK,Northeast
Eve's College of Hairstyling,OK,Northeast
Tulsa Community College,OK,East Central
Caddo-Kiowa Area Vocational-Technical School District No. 2,OK,East Central
Central Technology Center School District No. 3,OK,Southeast
Gordon Cooper Technology Center,OK,Oklahoma County
Hillsdale Free Will Baptist College,OK,Oklahoma County
Oklahoma City Community College,OK,Northwest and Southwest
Great Plains Technology Center School District Number 9,OK,Central
Pioneer Technology Center,OK,Central
Oklahoma State University Center for Health Sciences,OK,Central
Moore Norman Technology Center School District No. 17,OK,Northeast
Northeast Technology Center,OK,Northeast
Sand Springs Beauty College,OK,East Central
Hollywood Cosmetology Center,OK,East Central
Francis Tuttle Technology Center School District No. 21,OK,Southeast
"High Plains Technology Center, School District No. 24",OK,Oklahoma County
Platt College,OK,Oklahoma County
Pontotoc Technology Center District #14,OK,Northwest and Southwest
Heritage College,OK,Central
Platt College,OK,Central
Family of Faith College,OK,Central
Paul Mitchell The School Ardmore,OK,Northeast
College of the Muscogee Nation,OK,Northeast
Corban University,OR,Region 6 (Eastern)
Blue Mountain Community College,OR,Region 4
Central Oregon Community College,OR,Region 4
Clatsop Community College,OR,Region 5 (Central)
Concordia University,OR,Region 5 (Central)
Eastern Oregon University,OR,Region 3
George Fox University,OR,Region 3
Lane Community College,OR,Region 3
Lewis & Clark College,OR,Region 3
Linfield College,OR,Region 3
Marylhurst University,OR,Region 3
Mount Hood Community College,OR,Region 2
Multnomah University,OR,Region 2
Pacific Northwest College of Art,OR,Region 2
Northwest Christian University,OR,Region 2
Western Oregon University,OR,Region 1 (Multnomah)
Oregon State University,OR,Region 1 (Multnomah)
Oregon Institute of Technology,OR,Region 6 (Eastern)
Pacific University,OR,Region 4
Portland Community College,OR,Region 4
Portland State University,OR,Region 5 (Central)
Reed College,OR,Region 5 (Central)
Chemeketa Community College,OR,Region 3
Southern Oregon University,OR,Region 3
Southwestern Oregon Community College,OR,Region 3
Treasure Valley Community College,OR,Region 3
Umpqua Community College,OR,Region 3
University of Oregon,OR,Region 3
University of Portland,OR,Region 2
Warner Pacific College,OR,Region 2
Willamette University,OR,Region 2
Clackamas Community College,OR,Region 2
Oregon Health & Science University,OR,Region 1 (Multnomah)
Linn-Benton Community College,OR,Region 1 (Multnomah)
Art Institute of Portland (The),OR,Region 6 (Eastern)
Concorde Career College,OR,Region 4
Everest College,OR,Region 4
Phagans' Medford Beauty School,OR,Region 5 (Central)
Rogue Community College,OR,Region 5 (Central)
University of Western States,OR,Region 3
Phagans' Central Oregon Beauty College,OR,Region 3
Phagans' Beauty College,OR,Region 3
Phagans' School of Beauty,OR,Region 3
Sumner College,OR,Region 3
New Hope Christian College,OR,Region 3
National College of Natural Medicine,OR,Region 2
Oregon College of Oriental Medicine,OR,Region 2
Oregon College of Art & Craft,OR,Region 2
Le Cordon Bleu College of Culinary Arts,OR,Region 2
Carrington College,OR,Region 1 (Multnomah)
Klamath Community College,OR,Region 1 (Multnomah)
Institute of Technology,OR,Region 3
Birthingway College of Midwifery,OR,Region 3
Columbia Gorge Community College,OR,Region 3
American College of Healthcare Sciences,OR,Region 3
Tillamook Bay Community College,OR,Region 3
Summit University of Pennsylvania,PA,Regions 17 and 21
Bryn Athyn College of the New Church,PA,Regions 17 and 21
Albright College,PA,Regions 17 and 21
Allegheny College,PA,"Regions 3, 8, 9, and 51"
Community College of Allegheny County,PA,"Regions 3, 8, 9, and 51"
Alvernia University,PA,"Regions 3, 8, 9, and 51"
Arcadia University,PA,"Regions 3, 8, 9, and 51"
Bryn Mawr College,PA,"Regions 3, 8, 9, and 51"
Bucknell University,PA,"Regions 3, 8, 9, and 51"
Bucks County Community College,PA,"Regions 3, 8, 9, and 51"
Butler County Community College,PA,"Regions 3, 8, 9, and 51"
Cabrini College,PA,"Regions 3, 8, 9, and 51"
Carnegie Mellon University,PA,"Regions 3, 8, 9, and 51"
Cedar Crest College,PA,"Regions 3, 8, 9, and 51"
Chatham University,PA,"Regions 19, 26, 28, and 42"
Chestnut Hill College,PA,"Regions 19, 26, 28, and 42"
Misericordia University,PA,"Regions 19, 26, 28, and 42"
Community College of Philadelphia,PA,"Regions 19, 26, 28, and 42"
Delaware Valley University,PA,"Regions 19, 26, 28, and 42"
Dickinson College,PA,"Regions 19, 26, 28, and 42"
Drexel University,PA,"Regions 19, 26, 28, and 42"
Duquesne University of the Holy Spirit,PA,"Regions 19, 26, 28, and 42"
Eastern University,PA,"Regions 19, 26, 28, and 42"
Elizabethtown College,PA,"Regions 19, 26, 28, and 42"
Franklin & Marshall College,PA,"Regions 19, 26, 28, and 42"
Gannon University,PA,"Regions 19, 26, 28, and 42"
Geneva College,PA,"Regions 19, 26, 28, and 42"
Gettysburg College,PA,"Regions 19, 26, 28, and 42"
Gwynedd Mercy University,PA,"Regions 19, 26, 28, and 42"
Harcum College,PA,"Regions 19, 26, 28, and 42"
Harrisburg Area Community College,PA,"Regions 19, 26, 28, and 42"
Haverford College,PA,"Regions 19, 26, 28, and 42"
Holy Family University,PA,"Regions 19, 26, 28, and 42"
Immaculata University,PA,"Regions 19, 26, 28, and 42"
Indiana University of Pennsylvania,PA,"Regions 19, 26, 28, and 42"
Juniata College,PA,"Regions 19, 26, 28, and 42"
Keystone College,PA,"Regions 19, 26, 28, and 42"
Kings College,PA,"Regions 19, 26, 28, and 42"
Lackawanna College,PA,"Regions 19, 26, 28, and 42"
Lafayette College,PA,"Regions 19, 26, 28, and 42"
Lancaster Bible College,PA,"Regions 19, 26, 28, and 42"
Lancaster Theological Seminary of the United Church of Christ,PA,"Regions 19, 26, 28, and 42"
La Salle University,PA,"Regions 19, 26, 28, and 42"
Lebanon Valley College,PA,"Regions 19, 26, 28, and 42"
Lehigh University,PA,"Regions 19, 26, 28, and 42"
Lincoln University,PA,"Regions 19, 26, 28, and 42"
Lutheran Theological Seminary - Philadelphia,PA,Regions 29 and 34
Lycoming College,PA,Regions 29 and 34
Manor College,PA,Regions 29 and 34
Marywood University,PA,Regions 29 and 34
Mercyhurst University,PA,Regions 29 and 34
Messiah College,PA,Regions 29 and 34
Moore College of Art and Design,PA,Regions 29 and 34
Moravian College,PA,Regions 29 and 34
Mount Aloysius College,PA,Regions 29 and 34
Carlow University,PA,Regions 29 and 34
Muhlenberg College,PA,Regions 29 and 34
University of Valley Forge,PA,Regions 29 and 34
Peirce College,PA," Regions 10, 15, 35, 45, and 47"
Salus University,PA," Regions 10, 15, 35, 45, and 47"
Widener University,PA," Regions 10, 15, 35, 45, and 47"
Bloomsburg University of Pennsylvania,PA," Regions 10, 15, 35, 45, and 47"
California University of Pennsylvania,PA," Regions 10, 15, 35, 45, and 47"
Cheyney University of Pennsylvania,PA,"Regions 7, 13, 20, and 33"
Clarion University of Pennsylvania,PA,"Regions 7, 13, 20, and 33"
East Stroudsburg University of Pennsylvania,PA,"Regions 7, 13, 20, and 33"
Edinboro University of Pennsylvania,PA,"Regions 7, 13, 20, and 33"
Kutztown University of Pennsylvania,PA,"Regions 7, 13, 20, and 33"
Lock Haven University of Pennsylvania,PA,"Regions 7, 13, 20, and 33"
Mansfield University of Pennsylvania,PA,Region 36 (Philadelphia)
Millersville University of Pennsylvania,PA,Region 36 (Philadelphia)
Shippensburg University of Pennsylvania,PA,Region 36 (Philadelphia)
Slippery Rock University,PA,Region 36 (Philadelphia)
West Chester University of Pennsylvania,PA,Region 36 (Philadelphia)
Pennsylvania State University (The),PA,Region 36 (Philadelphia)
University of the Arts (The),PA,Region 36 (Philadelphia)
Cairn University,PA,Region 36 (Philadelphia)
Philadelphia College of Osteopathic Medicine,PA,Region 36 (Philadelphia)
University of the Sciences in Philadelphia,PA,Region 36 (Philadelphia)
Philadelphia University,PA,Region 36 (Philadelphia)
Point Park University,PA,Region 36 (Philadelphia)
Robert Morris University,PA,Region 36 (Philadelphia)
Rosemont College,PA,Region 36 (Philadelphia)
Seton Hill University,PA,Region 36 (Philadelphia)
Saint Charles Borromeo Seminary,PA,Region 36 (Philadelphia)
Saint Francis University,PA,Region 36 (Philadelphia)
Saint Joseph's University,PA,Region 36 (Philadelphia)
Saint Vincent College & Seminary,PA,Region 36 (Philadelphia)
Susquehanna University,PA,Region 36 (Philadelphia)
Swarthmore College,PA,Region 36 (Philadelphia)
Temple University,PA,Region 36 (Philadelphia)
Thiel College,PA,Region 36 (Philadelphia)
University of Pennsylvania,PA,Region 36 (Philadelphia)
University of Pittsburgh - Pittsburgh,PA,Region 36 (Philadelphia)
University of Scranton,PA,Region 36 (Philadelphia)
Ursinus College,PA,Region 36 (Philadelphia)
Valley Forge Military College,PA,Region 36 (Philadelphia)
Villanova University,PA,Regions 30 and 50
Washington and Jefferson College,PA,Regions 30 and 50
Waynesburg University,PA,Regions 30 and 50
Westminster College,PA,"Regions 19, 26, 28, and 42"
Wilkes University,PA,"Regions 19, 26, 28, and 42"
Pennsylvania College of Technology,PA,"Regions 19, 26, 28, and 42"
Wilson College,PA,"Regions 19, 26, 28, and 42"
York College of Pennsylvania,PA,"Regions 19, 26, 28, and 42"
DeSales University,PA,"Regions 19, 26, 28, and 42"
La Roche College,PA,"Regions 19, 26, 28, and 42"
Neumann University,PA,"Regions 19, 26, 28, and 42"
Montgomery County Community College,PA,Region 1 (Allegheny)
Central Penn College,PA,Region 1 (Allegheny)
Erie Business Center,PA,Region 1 (Allegheny)
McCann School of Business & Technology,PA,Region 1 (Allegheny)
Penn Commercial Business/Technical School,PA,Region 1 (Allegheny)
Kaplan Career Institute,PA,Region 1 (Allegheny)
Citizens School of Nursing,PA,Region 1 (Allegheny)
Community College of Beaver County,PA,Region 1 (Allegheny)
Lehigh Carbon Community College,PA,Region 1 (Allegheny)
Luzerne County Community College,PA,Region 1 (Allegheny)
Everest Institute,PA,"Regions 19, 26, 28, and 42"
Delaware County Community College,PA,"Regions 19, 26, 28, and 42"
Northampton County Area Community College,PA,"Regions 19, 26, 28, and 42"
Antonelli Institute,PA,"Regions 19, 26, 28, and 42"
Kaplan Career Institute,PA,"Regions 19, 26, 28, and 42"
Pittsburgh Technical Institute,PA,"Regions 19, 26, 28, and 42"
Hussian College,PA,"Regions 19, 26, 28, and 42"
Art Institute of Pittsburgh (The),PA,"Regions 19, 26, 28, and 42"
New Castle School of Trades,PA,"Regions 19, 26, 28, and 42"
Kaplan Career Institute,PA,"Regions 19, 26, 28, and 42"
Triangle Tech,PA,"Regions 19, 26, 28, and 42"
Thaddeus Stevens College of Technology,PA,"Regions 19, 26, 28, and 42"
Art Institute of Philadelphia (The),PA,"Regions 5, 18, 23, 24, and 46"
Vet Tech Institute,PA,"Regions 5, 18, 23, 24, and 46"
Salon Professional Academy (The),PA,"Regions 5, 18, 23, 24, and 46"
Dean Institute of Technology,PA,"Regions 5, 18, 23, 24, and 46"
Pennco Tech,PA,"Regions 5, 18, 23, 24, and 46"
Bradford School,PA,"Regions 5, 18, 23, 24, and 46"
Aria Health School of Nursing,PA,"Regions 19, 26, 28, and 42"
Pennsylvania College of Health Sciences,PA,"Regions 19, 26, 28, and 42"
Westmoreland County Community College,PA,"Regions 19, 26, 28, and 42"
Reading Area Community College,PA,"Regions 19, 26, 28, and 42"
Pittsburgh Institute of Mortuary Science,PA,"Regions 19, 26, 28, and 42"
Pennsylvania Institute of Technology,PA,"Regions 19, 26, 28, and 42"
Welder Training & Testing Institute,PA,"Regions 19, 26, 28, and 42"
Rosedale Technical College,PA,"Regions 19, 26, 28, and 42"
Thomas Jefferson University,PA,Region 36 (Philadelphia)
Talmudical Yeshiva of Philadelphia,PA,Region 36 (Philadelphia)
Empire Beauty School,PA,Region 36 (Philadelphia)
Yeshivath Beth Moshe,PA,Region 36 (Philadelphia)
Venus Beauty Academy,PA,Region 36 (Philadelphia)
Douglas Education Center,PA,Region 36 (Philadelphia)
Laurel Technical Institute,PA,Region 36 (Philadelphia)
Pennsylvania Academy of the Fine Arts,PA,Region 36 (Philadelphia)
Great Lakes Institute of Technology,PA,Region 36 (Philadelphia)
Johnson College,PA,Region 36 (Philadelphia)
Yorktowne Business Institute,PA,Region 36 (Philadelphia)
YTI Career Institute,PA,Region 36 (Philadelphia)
Beauty Institute (The),PA,Region 36 (Philadelphia)
Northeastern Hospital School of Nursing,PA,Region 36 (Philadelphia)
Orleans Technical College,PA,Region 36 (Philadelphia)
Pittsburgh Career Institute,PA,Region 36 (Philadelphia)
Erie Institute of Technology,PA,Region 36 (Philadelphia)
Stroudsburg School of Cosmetology,PA,Region 36 (Philadelphia)
Keystone Technical Institute,PA,Region 36 (Philadelphia)
Berks Technical Institute,PA,Region 36 (Philadelphia)
Pennsylvania College of Art & Design,PA,Region 36 (Philadelphia)
Kaplan Career Institute,PA,Region 36 (Philadelphia)
Prism Career Institute,PA,"Regions 5, 18, 23, 24, and 46"
All-State Career School,PA,"Regions 5, 18, 23, 24, and 46"
Commonwealth Technical Institute,PA,"Regions 5, 18, 23, 24, and 46"
Laurel Business Institute,PA,"Regions 5, 18, 23, 24, and 46"
Art Institute of York (The) - Pennsylvania,PA,"Regions 5, 18, 23, 24, and 46"
Prism Career Institute,PA,"Regions 5, 18, 23, 24, and 46"
Career Training Academy,PA,"Regions 4, 11, 37, and 49"
Fortis Institute,PA,"Regions 4, 11, 37, and 49"
Fortis Institute,PA,"Regions 4, 11, 37, and 49"
Fortis Institute,PA,"Regions 4, 11, 37, and 49"
Antonelli Medical & Professional Institute,PA,"Regions 4, 11, 37, and 49"
YTI Career Institute - Altoona,PA,"Regions 4, 11, 37, and 49"
Career Technology Center of Lackawanna County,PA,"Regions 4, 11, 37, and 49"
JNA Institute of Culinary Arts,PA,"Regions 4, 11, 37, and 49"
Metropolitan Career Center/Computer Technology Institute,PA,"Regions 4, 11, 37, and 49"
Aviation Institute of Maintenance,PA,"Regions 4, 11, 37, and 49"
Pennsylvania Highlands Community College,PA,"Regions 4, 11, 37, and 49"
Cortiva Institute - Pennsylvania,PA,"Regions 4, 11, 37, and 49"
Harrisburg University of Science and Technology,PA,"Regions 4, 11, 37, and 49"
Institute of Medical Careers,PA,"Regions 4, 11, 37, and 49"
Barone Beauty Academy,PA,"Regions 4, 11, 37, and 49"
Philadelphia Technician Training Institute,PA,"Regions 4, 11, 37, and 49"
Pontifical Catholic University of Puerto Rico (The),PR,
University of the Sacred Heart,PR,
Inter American University of Puerto Rico - San German Campus,PR,
Inter American University of Puerto Rico - Aguadilla Campus,PR,
Inter American University of Puerto Rico - Metropolitan Campus,PR,
Universidad del Este,PR,
University of Puerto Rico - Humacao University College,PR,
University of Puerto Rico - Mayaguez,PR,
Universidad Adventista De Las Antillas,PR,
Bayamon Central University,PR,
Inter American University of Puerto Rico - Arecibo Campus,PR,
Inter American University of Puerto Rico - Barranquitas Campus,PR,
Inter American University of Puerto Rico - Bayamon Campus,PR,
Inter American University of Puerto Rico - Ponce Campus,PR,
University of Puerto Rico - Rio Piedras Campus,PR,
University of Puerto Rico - Cayey University College,PR,
University of Puerto Rico - Arecibo,PR,
Columbia Central University,PR,
"University of Puerto Rico, Ponce",PR,
Colegio Universitario de San Juan,PR,
Carlos Albizu University,PR,
Conservatorio De Musica De Puerto Rico,PR,
University of Puerto Rico - Utuado,PR,
University of Puerto Rico Bayamon Technical University College,PR,
"Ryder Memorial Hospital, School of Practical Nursing",PR,
Universidad Del Turabo,PR,
Instituto Comercial de Puerto Rico Junior College,PR,
American University of Puerto Rico,PR,
"University of Puerto Rico, Aguadilla Regional College",PR,
Caribbean University,PR,
MBTI Business Training Institute,PR,
Universidad Politecnica de Puerto Rico,PR,
Universidad Central del Caribe,PR,
EDP University of Puerto Rico,PR,
Instituto de Banca y Comercio,PR,
Centro de Estudios Multidisciplinarios,PR,
Emma's Beauty Academy,PR,
Modern Hairstyling Institute,PR,
